optimizer_class_name,optimizer_kwargs_lr,final_mlp_kwargs_width_factor,final_mlp_kwargs_n_layers,final_mlp_kwargs_loss_class_name,final_mlp_kwargs_p_dropout,final_mlp_kwargs_activation_class_name,final_mlp_kwargs_norm_class_name,final_mlp_kwargs_residual,final_mlp_kwargs_dropout,final_mlp_kwargs_activation,final_mlp_kwargs_inplace,node_type_kwargs_width_factor,node_type_kwargs_n_layers,node_type_kwargs_one_hot_embeddings,node_type_kwargs_max_emb_dim,node_type_kwargs_drop_whole_embeddings,node_type_kwargs_p_dropout,node_type_kwargs_activation_class_name,node_type_kwargs_norm_class_name,node_type_kwargs_residual,node_type_kwargs_dropout,node_type_kwargs_activation,node_type_kwargs_inplace,tree_layer_kwargs_width_factor,tree_layer_kwargs_n_layers,tree_layer_kwargs_p_dropout,tree_layer_kwargs_activation_class_name,tree_layer_kwargs_norm_class_name,tree_layer_kwargs_residual,tree_layer_kwargs_dropout,tree_layer_kwargs_activation,tree_layer_kwargs_inplace,tree_layer_name,plan_featurization_name,hidden_dim,output_dim,epochs,early_stopping_patience,max_epoch_tuples,batch_size,device,num_workers,seed,limit_queries,limit_queries_affected_wl,skip_train,seconds,normalise,epoch,train_time,mean_loss,mean_rmse,val_time,val_num_tuples,val_loss,val_std,val_mse,val_mape,val_median_q_error_50,val_median_q_error_95,val_median_q_error_100,epoch_time,stop_early
AdamW,0.0005,1.5,4,MSELoss,0,LeakyReLU,Identity,False,False,True,True,1.5,4,True,32,False,0,LeakyReLU,Identity,False,False,True,True,0.6,2,0,LeakyReLU,Identity,False,False,True,True,MscnConv,TrinoTrueCardDetail,128,1,100,20,,256,cuda,16,0,,,False,True,True,0,19.49649101868272,0.14744431,0.3873481807047174,3.062099060975015,512,0.14877304434776306,47.123505,91.5456,216.0224,14.250930786132812,843.9107360839844,995.47802734375,22.575177915859967,False
AdamW,0.0005,1.5,4,MSELoss,0,LeakyReLU,Identity,False,False,True,True,1.5,4,True,32,False,0,LeakyReLU,Identity,False,False,True,True,0.6,2,0,LeakyReLU,Identity,False,False,True,True,MscnConv,TrinoTrueCardDetail,128,1,100,20,,256,cuda,16,0,,,False,True,True,1,4.0173520259559155,0.14809829,0.38655351928101944,2.8801176310516894,512,0.14765921235084534,47.123505,90.29715,214.80788,14.202457427978516,841.0643615722656,992.108154296875,6.913577754050493,False
AdamW,0.0005,1.5,4,MSELoss,0,LeakyReLU,Identity,False,False,True,True,1.5,4,True,32,False,0,LeakyReLU,Identity,False,False,True,True,0.6,2,0,LeakyReLU,Identity,False,False,True,True,MscnConv,TrinoTrueCardDetail,128,1,100,20,,256,cuda,16,0,,,False,True,True,2,3.672897389624268,0.1443254,0.38518360594171713,3.0026104603894055,512,0.14790283143520355,47.123505,90.96923,214.88666,14.177563667297363,839.5696105957031,990.3525390625,6.687228681053966,False
AdamW,0.0005,1.5,4,MSELoss,0,LeakyReLU,Identity,False,False,True,True,1.5,4,True,32,False,0,LeakyReLU,Identity,False,False,True,True,0.6,2,0,LeakyReLU,Identity,False,False,True,True,MscnConv,TrinoTrueCardDetail,128,1,100,20,,256,cuda,16,0,,,False,True,True,3,3.6308450819924474,0.14828227,0.38518316226082727,2.9308292409405112,512,0.1472797393798828,47.123505,90.48248,213.8277,14.10848617553711,835.5276184082031,985.557861328125,6.574892850127071,False
AdamW,0.0005,1.5,4,MSELoss,0,LeakyReLU,Identity,False,False,True,True,1.5,4,True,32,False,0,LeakyReLU,Identity,False,False,True,True,0.6,2,0,LeakyReLU,Identity,False,False,True,True,MscnConv,TrinoTrueCardDetail,128,1,100,20,,256,cuda,16,0,,,False,True,True,4,3.649602151941508,0.14361666,0.38362773746165696,2.896419207099825,512,0.1722913682460785,47.123505,86.2148,205.32486,14.407135486602783,812.5105743408203,958.8562622070312,6.559862591791898,False
AdamW,0.0005,1.5,4,MSELoss,0,LeakyReLU,Identity,False,False,True,True,1.5,4,True,32,False,0,LeakyReLU,Identity,False,False,True,True,0.6,2,0,LeakyReLU,Identity,False,False,True,True,MscnConv,TrinoTrueCardDetail,128,1,100,20,,256,cuda,16,0,,,False,True,True,5,3.8318906109780073,0.15316786,0.38695742129503174,3.1074489350430667,512,0.14374826848506927,47.123505,86.38943,203.40587,13.365869522094727,801.7717590332031,952.2327270507812,6.953620796091855,False
AdamW,0.0005,1.5,4,MSELoss,0,LeakyReLU,Identity,False,False,True,True,1.5,4,True,32,False,0,LeakyReLU,Identity,False,False,True,True,0.6,2,0,LeakyReLU,Identity,False,False,True,True,MscnConv,TrinoTrueCardDetail,128,1,100,20,,256,cuda,16,0,,,False,True,True,6,3.857501505408436,0.123194814,0.35811065757299343,3.1162724406458437,512,0.06793278455734253,47.123505,49.86285,31.49119,6.475828409194946,200.74233627319336,275.8683166503906,6.990558568388224,False
AdamW,0.0005,1.5,4,MSELoss,0,LeakyReLU,Identity,False,False,True,True,1.5,4,True,32,False,0,LeakyReLU,Identity,False,False,True,True,0.6,2,0,LeakyReLU,Identity,False,False,True,True,MscnConv,TrinoTrueCardDetail,128,1,100,20,,256,cuda,16,0,,,False,True,True,7,4.002434988040477,0.07018949,0.26838368742177693,2.894117741845548,512,0.06464636325836182,47.123505,48.918648,43.39799,6.669416427612305,255.55109024047852,341.77838134765625,6.904396783094853,False
AdamW,0.0005,1.5,4,MSELoss,0,LeakyReLU,Identity,False,False,True,True,1.5,4,True,32,False,0,LeakyReLU,Identity,False,False,True,True,0.6,2,0,LeakyReLU,Identity,False,False,True,True,MscnConv,TrinoTrueCardDetail,128,1,100,20,,256,cuda,16,0,,,False,True,True,8,3.5952914329245687,0.063086115,0.25365849439244326,2.8968589319847524,512,0.065126433968544,47.123505,48.56315,45.45129,6.352770090103149,255.31219482421875,325.4469909667969,6.501773762051016,False
AdamW,0.0005,1.5,4,MSELoss,0,LeakyReLU,Identity,False,False,True,True,1.5,4,True,32,False,0,LeakyReLU,Identity,False,False,True,True,0.6,2,0,LeakyReLU,Identity,False,False,True,True,MscnConv,TrinoTrueCardDetail,128,1,100,20,,256,cuda,16,0,,,False,True,True,9,3.6431480729952455,0.061233338,0.24405979061479363,2.9954122928902507,512,0.05723218247294426,47.123505,49.83685,26.286715,6.422578573226929,165.50606536865234,788.8095703125,6.649060458876193,False
AdamW,0.0005,1.5,4,MSELoss,0,LeakyReLU,Identity,False,False,True,True,1.5,4,True,32,False,0,LeakyReLU,Identity,False,False,True,True,0.6,2,0,LeakyReLU,Identity,False,False,True,True,MscnConv,TrinoTrueCardDetail,128,1,100,20,,256,cuda,16,0,,,False,True,True,10,3.6565748769789934,0.05740409,0.23627022434522016,3.1631232970394194,512,0.054325930774211884,47.123505,50.342724,22.618692,6.4422712326049805,151.05547332763672,1638.0572509765625,6.829913638997823,False
AdamW,0.0005,1.5,4,MSELoss,0,LeakyReLU,Identity,False,False,True,True,1.5,4,True,32,False,0,LeakyReLU,Identity,False,False,True,True,0.6,2,0,LeakyReLU,Identity,False,False,True,True,MscnConv,TrinoTrueCardDetail,128,1,100,20,,256,cuda,16,0,,,False,True,True,11,3.8131961249746382,0.053087283,0.23049377727291076,3.0675838687457144,512,0.05436145141720772,47.123505,51.793087,14.519734,7.226112365722656,100.91651344299316,360.8310241699219,6.890731710009277,False
AdamW,0.0005,1.5,4,MSELoss,0,LeakyReLU,Identity,False,False,True,True,1.5,4,True,32,False,0,LeakyReLU,Identity,False,False,True,True,0.6,2,0,LeakyReLU,Identity,False,False,True,True,MscnConv,TrinoTrueCardDetail,128,1,100,20,,256,cuda,16,0,,,False,True,True,12,3.9174631563946605,0.050305568,0.22365649771801688,3.123421458993107,512,0.04976040869951248,47.123505,51.07518,18.177286,7.3434388637542725,123.52808380126953,340.4289245605469,7.0462899641133845,False
AdamW,0.0005,1.5,4,MSELoss,0,LeakyReLU,Identity,False,False,True,True,1.5,4,True,32,False,0,LeakyReLU,Identity,False,False,True,True,0.6,2,0,LeakyReLU,Identity,False,False,True,True,MscnConv,TrinoTrueCardDetail,128,1,100,20,,256,cuda,16,0,,,False,True,True,13,4.040133115835488,0.048596896,0.2197213370914565,2.836059025954455,512,0.04911834001541138,47.123505,51.2974,17.31956,7.25337028503418,120.37691307067871,193.80516052246094,6.883970705326647,False
AdamW,0.0005,1.5,4,MSELoss,0,LeakyReLU,Identity,False,False,True,True,1.5,4,True,32,False,0,LeakyReLU,Identity,False,False,True,True,0.6,2,0,LeakyReLU,Identity,False,False,True,True,MscnConv,TrinoTrueCardDetail,128,1,100,20,,256,cuda,16,0,,,False,True,True,14,3.631050215102732,0.048268124,0.21794481202733057,2.9524701219052076,512,0.048866819590330124,47.123505,50.98752,18.807669,7.077925443649292,116.37521171569824,186.46144104003906,6.59208830492571,False
AdamW,0.0005,1.5,4,MSELoss,0,LeakyReLU,Identity,False,False,True,True,1.5,4,True,32,False,0,LeakyReLU,Identity,False,False,True,True,0.6,2,0,LeakyReLU,Identity,False,False,True,True,MscnConv,TrinoTrueCardDetail,128,1,100,20,,256,cuda,16,0,,,False,True,True,15,3.6139270830899477,0.046520386,0.21730266188855193,2.890985154081136,512,0.0483895018696785,47.123505,51.174507,17.792046,7.214751243591309,109.05562400817871,174.73370361328125,6.512779012788087,False
AdamW,0.0005,1.5,4,MSELoss,0,LeakyReLU,Identity,False,False,True,True,1.5,4,True,32,False,0,LeakyReLU,Identity,False,False,True,True,0.6,2,0,LeakyReLU,Identity,False,False,True,True,MscnConv,TrinoTrueCardDetail,128,1,100,20,,256,cuda,16,0,,,False,True,True,16,3.635055386926979,0.04612688,0.2166144318296681,2.952661506831646,512,0.04834562540054321,47.123505,50.57721,20.761381,6.89905047416687,117.87285804748535,188.86099243164062,6.592975551262498,False
AdamW,0.0005,1.5,4,MSELoss,0,LeakyReLU,Identity,False,False,True,True,1.5,4,True,32,False,0,LeakyReLU,Identity,False,False,True,True,0.6,2,0,LeakyReLU,Identity,False,False,True,True,MscnConv,TrinoTrueCardDetail,128,1,100,20,,256,cuda,16,0,,,False,True,True,17,3.7669311170466244,0.04628202,0.21747528261255764,3.0769102349877357,512,0.048871226608753204,47.123505,50.620064,20.516106,6.854886293411255,113.27261543273926,181.49026489257812,6.849116650875658,False
